"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"Ev arkadaşı arıyorum.","4.500 TL","0-43347271","09-09-2024","Daire","1 + 1","70 m2","Giriş Katı","10 Yaşında","Belirtilmemiş","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Kiracılı","","","Kuzey","","Doğalgaz","","","","","","",""
"REF'DEN SİTE İÇERİSİNDE ARAKAT D.GAZLI KLİMALI GENİŞ 3+1 KİRALIK DAİRE","20.000 TL","144696-102","03-08-2024","Daire","3 + 1","135 m2","3. Kat","20 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","200 TL","Güney, Doğu","20.000 TL","Doğalgaz","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"SAFİR'den DoğalGazlı Klimalı 3+1 Eşyalı Daire","30.000 TL","109159-250","12-09-2024","Daire","3 + 1","110 m2","2. Kat","2 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","","Güney, Doğu","","","","","","Uygun değil","","",""
"ADATEPE MH 2+1 EŞYALI DAİRE","16.000 TL","14003-1479","02-10-2024","Daire","2 + 1","65 m2","Giriş Katı","15 Yaşında","Klima","2 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","","Elektrik","","","","","","",""
"BUCA ADATEPEDE 15 BİN TL KİRALİK DAİRE","15.000 TL","145398-42","06-09-2024","Daire","2 + 1","75 m2","6. Kat","8 Yaşında","Kombi","6 Katlı","Eşyalı Değil","1","","","","","","","","","","","","","","",""
"ATATÜRK MH'DE FAKÜLTELER YAKINI '1+1' EŞYALI KİRALIK DAİRE","13.750 TL","104457-51","04-10-2024","Daire","1 + 1","60 m2","Yüksek Giriş","5 Yaşında","Isıtma Yok","1 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","100 TL","Kuzey, Güney","13.750 TL","","","","Evet","","","",""
"TURPA AYEL YAPIDA 2+1 KİRALIK","25.000 TL","149792-2","30-08-2024","Daire","2 + 1","70 m2","Çatı Katı","10 Yaşında","Kombi","4 Katlı","Eşyalı","2","Betonarme","İkinci El","Boş","","100 TL","","25.000 TL","Doğalgaz","","","Evet","","","",""
"HASANAĞA PARKİNA YURUME MESAFESİNDE YAYLACİKDA 3+1 ESYALİ DAİRE","23.000 TL","146020-35","26-08-2024","Daire","3 + 1","130 m2","2. Kat","23 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","20.000 TL","Doğalgaz","","","Evet","","","",""
"KURUÇEŞME MAH. FAKÜLTE YAKINI 55 M2 BAHÇELİ 1+1 KİRALIK DAİRE...","15.000 TL","18435-5203","09-09-2024","Daire","1 + 1","55 m2","Bahçe Katı","6 Yaşında","Kombi","9 Katlı","Eşyalı Değil","1","","Betonarme","Boş","","200 TL","","15.000 TL","Doğalgaz","","","","","","Hayır",""
"REF’DEN DOĞUŞ CAD’DE D.GAZLI BALKONLU 145m2 KİRALIK 3+1","20.000 TL","144696-108","12-08-2024","Daire","3 + 1","155 m2","2. Kat","16 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","","150 TL","Güney, Doğu, Batı","20.000 TL","Doğalgaz","","","Evet","","","",""
"SAFİR'den Kozağaç Mahallesinde 3+1 Kiralık Daire","23.000 TL","109159-252","18-10-2024","Daire","3 + 1","120 m2","3. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Mülk Sahibi","","","Kuzey, Güney, Doğu","","","","","","Uygun değil","","",""
"Menderes Caddesine yakın Doğalgazlı 1+0","12.000 TL","3526-3164","22-09-2024","Daire","1 + 0","40 m2","Yüksek Giriş","10 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","","","","12.000 TL","","","","","","","",""
"3+1 EŞYALI KİRALIK DAİRE HASANAGA BAHÇESİNE 800 MTRE","30.000 TL","145398-37","18-09-2024","Daire","3 + 1","140 m2","2. Kat","4 Yaşında","Kombi","2 Katlı","Eşyalı","1","Betonarme","Sıfır","","","","","","Doğalgaz","","","","","","",""
